"","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"2",41.8933,43.8127,42.2088,42.1009,43.4217,45.8491,46.0329,46.3065,45.057,45.3858,46.0236,46.5905,47.3865,49.6173,50.592,51.5699,52.3688,53.6419,54.6327,55.7516,56.7258,57.5961,58.6231,59.3074,60.0397,60.6546,61.0923,61.6798,62.1438,62.4484,62.2612,61.6434
"12",44.8599,44.2265,43.8951,37.105,44.0802,44.0593,44.3734,45.3874,46.5522,47.5278,47.5142,48.4314,49.8911,50.857,52.0101,53.0231,53.8694,54.7265,55.7101,56.3882,57.0809,57.7692,58.4927,59.2346,59.8684,60.2172,60.7931,61.5526,61.6884,62.3514,61.5663,61.6627
"14",53.2918,53.6238,54.089,54.5366,54.9104,55.2947,55.5578,55.978,56.2177,56.5256,56.5779,56.6604,56.6064,56.7378,56.8257,57.1252,57.4555,57.6752,57.8689,57.9557,58.3627,58.4624,58.7159,58.9654,59.1249,59.3771,59.5394,59.8558,60.1403,60.4537,60.088,59.821
"15",49.4401,49.4502,49.4373,49.2089,49.3069,49.4459,49.6143,49.3997,49.9911,50.3255,50.8468,51.0706,51.2722,51.7927,52.4161,53.0916,53.7422,54.3747,55.342,55.9595,56.4768,57.1246,57.6187,57.8234,58.3589,58.8454,59.3262,59.5361,60.0466,60.0391,59.7306,59.2696
"28",60.5327,59.4734,58.3482,57.7188,56.1542,55.0594,54.3573,53.4482,52.5226,51.6943,51.0109,50.6757,50.6324,50.9468,51.6168,52.6104,53.9182,55.732,57.1206,58.2791,60.0133,60.5302,60.8004,61.9958,62.6076,63.8183,65.4644,66.7526,65.4224,65.4636,65.6471,61.1409
"29",49.6347,49.2516,48.7932,48.353,47.8529,47.35,46.8311,46.3192,46.0249,45.7504,45.406,45.3926,45.4092,45.76,46.0383,46.4331,46.8514,47.4262,48.0155,48.6476,49.2549,49.9482,50.6861,50.902,50.5655,52.793,53.4601,53.7207,54.3693,55.0253,54.6042,53.8947
"34",52.6026,52.323,52.1382,51.9249,51.7368,51.6104,51.5205,51.4487,51.1078,50.9574,50.8423,50.8098,50.8857,50.9543,51.3628,51.824,52.3554,52.9697,53.6532,54.3938,55.0225,55.5195,56.1579,56.7481,57.208,57.7624,58.0599,58.4805,58.8494,59.3185,59.0318,58.5983
"35",54.8679,54.6577,54.4809,54.0615,53.5281,53.2218,52.8198,52.7367,52.582,52.6946,52.9317,53.1423,53.4148,53.8826,54.1779,54.3619,54.8564,55.1653,55.6548,56.1019,56.582,57.1331,57.7922,58.4761,58.9355,59.658,60.2333,60.8103,61.1798,61.5839,60.8328,60.3334
"36",48.6006,48.9478,49.2436,49.5512,49.8841,50.411,49.3072,50.4021,49.6956,49.9448,51.7812,52.1162,52.3327,52.8266,53.426,53.9267,54.5338,54.9226,55.3386,55.8363,56.4167,57.0693,57.2484,57.7618,58.2963,58.49,59.0664,59.4114,59.9417,60.2757,59.7392,59.193
"37",55.9261,55.2431,54.663,54.1462,53.7383,53.644,53.4908,47.1899,50.8935,52.7573,53.682,54.3945,55.0878,55.9481,56.986,58.1255,58.8784,59.6433,60.4265,61.0883,61.6833,61.9924,62.317,62.6947,62.9502,63.2329,63.5765,63.76,64.0531,62.7467,63.7852,63.5187
"39",55.8404,56.1941,56.733,57.2762,57.694,58.0146,58.3444,58.3899,58.4068,58.7809,58.7565,59.1631,59.0556,59.2578,59.4803,59.6041,59.8751,60.102,60.4747,60.8314,61.1233,61.5033,61.834,62.2244,62.5158,62.8956,63.2368,63.6254,63.9117,64.0684,64.1665,63.4174
"40",65.0227,65.1762,65.318,65.3121,65.2504,64.0928,65.7627,66.3779,66.9928,67.5686,68.6183,69.9287,70.7054,71.4289,71.9991,72.6804,72.2394,72.8349,72.5077,73.0875,73.4986,74.2565,74.4838,75.059,75.24,74.6195,75.7423,76.5928,75.7331,76.0042,74.8077,74.0518
"46",55.4983,55.1564,54.4515,55.7737,55.5053,56.3016,56.1862,55.9665,56.1757,56.4268,56.5734,56.9027,57.2147,57.5946,57.7594,58.316,58.7153,59.0242,59.3653,59.6727,60.2587,60.4329,60.8479,61.2212,61.6411,61.957,62.1908,62.7966,63.0381,63.0854,62.6943,62.3049
"50",67.416,67.6875,67.7571,67.7195,67.3614,67.4544,68.7493,69.1706,69.4506,70.0316,70.4779,70.8233,71.2296,71.2868,71.7617,72.0612,72.3336,72.6019,72.9405,73.6196,73.8081,74.1234,74.2024,74.6153,75.11,75.622,75.7318,75.7428,76.0656,76.4742,74.4528,76.3767
