"","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"6",71.7837,72.319,72.4295,72.5646,73.1725,73.1333,73.3066,73.0899,73.4737,73.7219,73.926,74.1864,74.408,74.0801,74.8549,75.1388,75.4326,75.0057,75.6411,75.9359,75.7208,76.124,76.4669,76.4908,76.7549,76.7602,76.3077,76.833,76.9994,77.2845,75.8921,75.3899
"8",73.4922,73.4354,73.4168,73.4819,73.5912,73.6363,73.8291,73.9603,74.0413,74.3467,74.6058,75.0781,75.5357,75.4778,75.6721,75.8254,75.7647,76.1311,76.4103,76.6694,76.8195,77.1038,77.3502,77.5834,77.8577,77.9127,78.1516,78.2683,78.5112,78.6912,78.8406,78.4968
"19",70.1331,69.6157,70.6679,70.6559,70.8507,70.7628,70.7101,71.0541,71.4558,71.7709,72.0411,72.1101,72.2316,72.402,72.478,72.7654,72.855,72.6785,72.6671,72.5794,72.7314,72.5638,72.7528,73.0237,73.3658,73.104,73.5368,73.6317,73.8057,71.205,72.6766,71.5983
"22",70.7437,70.2484,69.9793,69.9882,70.3164,69.8874,69.8058,69.2118,68.5988,68.7734,68.5645,68.3572,68.7521,68.9091,69.227,69.3757,70.0932,70.6549,71.1507,71.8186,72.2716,72.6512,73.245,73.6661,73.3107,73.1866,73.3988,73.5624,73.7031,73.9313,72.854,70.4697
"23",56.4221,57.0973,57.6287,58.4179,58.9886,59.5337,60.0837,60.7521,61.3317,61.8711,62.3461,62.8426,63.3064,63.6348,64.0041,64.3856,64.7793,65.0267,65.4459,65.8803,66.1624,66.5337,66.7046,67.0207,67.1632,67.3182,67.6277,67.7015,67.748,67.841,64.4667,63.6304
"24",65.9848,66.3096,66.7082,67.1092,67.5684,67.9191,68.409,68.8128,69.1885,69.5237,69.7367,70.1949,70.4103,70.7204,71.1307,71.7533,72.0373,72.3653,72.7153,72.9484,73.1821,73.3432,73.5517,73.9185,74.3058,74.3325,74.4415,74.8266,75.1095,75.3379,74.0089,72.7504
"25",72.7516,72.843,72.9152,73.1904,73.2113,73.2983,73.5458,73.5475,73.7278,74.0387,74.0891,74.2467,74.3656,74.4717,74.7268,74.8901,75.0683,75.3424,75.4471,75.678,75.7115,75.9166,76.0987,76.2752,76.4758,76.6502,76.8149,76.936,77.067,77.2569,77.3929,77.5714
"30",77.4308,77.5917,77.8501,77.7229,77.8991,78.0194,78.271,78.4642,78.6739,78.8851,79.2335,79.4507,79.568,79.7396,80.0332,80.1364,80.5466,80.5495,80.7388,81.0737,81.3469,81.5286,81.7221,81.8029,81.8545,81.9246,82.0434,82.0192,82.0508,82.3628,82.0471,82.6565
"32",72.574,73.5741,74.1354,74.1953,74.6139,74.6085,74.8988,75.5958,75.6695,76.0176,76.8695,76.7726,77.4445,77.3867,77.6161,78.0159,78.261,77.8258,78.4841,78.7409,78.5015,79.1099,79.0233,79.3391,79.4726,79.746,80.0794,80.3501,80.1334,80.3263,79.3769,78.9435
"38",68.644,68.8127,69.0381,69.3418,69.6132,69.9325,70.1885,70.4919,70.7378,70.9257,71.3201,71.502,71.9389,72.3606,72.6951,73.0814,73.468,73.8372,74.295,74.7418,75.0327,75.3198,75.5973,75.8267,76.0427,76.2573,76.4713,76.6456,76.7479,76.7523,74.7692,72.8296
"41",76.6301,76.5905,76.6269,76.7029,76.67,76.5519,76.8042,77.0703,76.8963,77.1375,77.5857,77.5453,77.9833,78.072,78.3305,78.5053,78.5145,78.4621,78.4451,78.6721,78.6704,79.3477,79.2827,79.4034,78.7741,79.0857,79.4592,79.3769,79.4835,79.4272,79.277,77.0232
"42",74.0389,74.093,74.1615,74.2608,74.4106,74.6231,74.9026,75.2223,75.5639,75.8926,76.1831,76.4208,76.6124,76.7729,76.9116,77.0469,77.1788,77.3072,77.4294,77.5483,77.661,77.7597,77.8328,77.8698,77.8533,77.772,77.643,77.5286,77.4962,77.6112,77.5673,73.6829
"47",69.852,69.6458,70.2817,70.9373,71.0757,71.5203,71.194,71.6344,71.4715,70.6314,72.6932,71.7132,72.3395,71.4384,72.401,72.2543,72.8479,71.9301,73.3054,72.1702,71.5499,69.6948,70.5383,68.8962,69.4342,68.7266,70.1284,67.5253,73.59,73.5588,73.649,72.814
