"","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"3",73.1439,73.3776,73.7148,73.9391,74.1313,74.3616,74.5923,73.9039,74.9899,75.1828,75.4043,75.6388,75.8899,76.1421,76.3761,76.6208,76.8162,77.5491,77.6529,77.781,77.9359,78.0919,78.064,78.1226,78.4075,78.6441,78.8602,79.0473,79.1838,79.2825,76.9893,76.4626
"4",78.4063,77.9805,80.3241,78.6633,82.638,78.9616,80.334,80.9439,79.4259,81.3173,80.9193,81.6857,82.2368,83.9209,80.0836,81.7599,82.9664,82.6594,82.6982,82.752,82.8156,82.8975,82.9166,82.9343,82.9483,82.9534,82.9671,82.9803,82.9923,83.0039,79.0234,80.3684
"10",75.7396,75.7931,75.9931,76.2258,76.5425,76.7766,77.0268,77.4292,77.7833,77.956,78.2358,78.7192,78.8469,78.8496,79.3632,79.521,79.9655,80.1672,80.3639,80.207,80.4643,80.8285,80.841,81.0783,81.3903,81.1594,81.5925,81.6391,81.6862,81.9077,81.5036,81.5797
"13",76.0554,76.1962,76.3554,76.3611,76.7142,76.8385,77.1825,77.4004,77.4743,77.6457,77.7665,78.0807,78.1667,78.3198,78.9599,79.0526,79.3884,79.5262,79.5769,79.847,80.033,80.3649,80.2607,80.468,81.0811,80.8898,81.2661,81.3618,81.4787,81.8311,80.7884,81.8787
"17",71.3571,71.2267,71.215,71.2257,70.9011,71.0024,70.8738,70.3511,70.9124,71.5962,71.6091,71.9145,72.1619,72.4077,72.6094,72.5924,72.7215,73.037,73.3647,73.7049,73.8348,74.1895,74.3572,74.8489,74.4824,74.6325,74.8336,74.7992,74.8983,75.0624,73.6453,71.798
"20",72.3487,72.0887,51.7847,51.5189,67.2094,70.2839,73.4305,73.6865,73.9007,75.0764,74.4957,75.06,74.6115,75.7822,76.1329,75.42,76.2468,76.1609,76.8378,76.9764,77.0729,77.0069,77.1914,76.3304,75.6586,76.1819,76.8083,76.9349,77.0926,77.2412,76.2254,75.3003
"21",69.9347,69.7159,69.3996,68.6412,69.2323,68.7966,68.9011,68.6524,68.6405,68.375,69.1801,68.864,68.4835,68.939,69.4064,69.4163,69.9876,70.7622,70.9218,71.0939,71.1219,71.5165,72.6137,72.9891,73.5849,73.9874,74.258,74.4519,74.5676,74.216,72.5132,72.438
"31",77.3849,77.648,77.9437,78.2332,78.4942,78.5648,79.0489,79.2324,79.4749,79.7231,79.8335,80.2507,80.4431,80.532,81.0534,81.2338,81.5464,81.6988,81.9664,81.985,82.2831,82.5707,82.6158,82.6903,83.0849,82.8468,83.4452,83.4125,83.5615,83.7802,83.067,83.9872
"44",71.4087,71.9702,72.33,72.853,73.082,73.1775,73.8348,73.9464,74.5531,74.7421,74.9787,75.315,75.4435,75.3972,75.9432,76.1585,76.7109,76.9217,77.1743,77.2598,77.5703,77.8191,78.0058,78.1796,78.755,78.58,78.9967,78.9557,79.0039,79.2433,78.5746,77.7283
"45",75.3588,75.5759,76.0187,76.0959,76.3931,76.5619,76.7922,77.2259,77.5768,77.8056,78.0637,78.4095,78.4827,78.5443,79.1263,79.2618,79.5906,79.7412,79.8261,79.9248,80.0864,80.36,80.5058,80.4633,80.9151,80.5742,80.8471,80.9442,81.1717,81.5584,81.1472,80.6301
