"","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021"
"9",77.0443,77.4831,77.4765,78.0098,77.8558,78.2619,78.3492,78.6317,79.0275,79.2855,79.6309,80.0165,80.0639,80.4549,80.7512,81.1126,81.2822,81.2603,81.4589,81.7661,82.055,82.1336,82.3456,82.6041,82.5677,82.6552,82.8707,83.0006,83.3871,83.11,84.3239,84.5265
"58",65.5076,65.6434,65.8269,65.9283,66.1246,66.2856,66.4078,66.4478,66.68,66.7627,66.31,66.3399,65.7482,66.1775,66.4243,66.6325,66.8553,66.8261,66.9346,67.0888,67.3276,67.5234,67.5515,67.428,67.3764,66.8436,67.2395,67.7904,67.8096,67.8933,67.9244,67.114
"60",67.425,67.619,67.832,68.0589,68.0954,68.5528,68.7764,69.2293,69.465,69.7064,69.769,70.4791,69.4595,70.7605,70.8382,70.8844,71.0932,71.0599,71.1373,71.1122,71.2328,71.318,71.3981,71.4985,71.5287,71.4079,71.5954,71.4666,71.3183,71.0771,70.674,70.71
"93",60.9174,61.4222,61.8931,62.321,62.6973,63.0135,63.2909,63.5751,63.854,64.136,64.4091,64.655,64.8402,64.9539,64.9893,64.9666,64.9058,64.8436,64.8335,64.8924,65.0161,65.1901,65.3776,65.5884,65.8147,66.0589,66.3316,66.5965,66.8545,67.1497,67.2659,67.4172
"114",62.1758,62.2817,62.3834,62.4759,62.5584,62.774,63.0339,63.2253,63.3636,63.48,63.2748,63.6425,63.7195,63.7451,63.6954,63.5852,63.4894,63.3597,63.2355,63.2295,63.2261,63.2558,63.3733,63.4642,63.6229,63.8274,64.0569,64.2696,64.5001,64.7458,64.977,65.2688
"133",61.3557,61.3031,61.2233,61.3376,61.4626,61.3214,60.5041,59.644,59.2238,58.8032,58.7323,58.2777,58.1807,58.0951,58.072,58.1613,58.3785,58.5303,58.833,59.1233,59.6402,60.2398,60.7152,61.2314,61.8074,62.269,62.7018,62.988,63.2337,63.4845,63.4367,63.617
"134",75.4242,76.0788,76.1899,76.4999,76.9197,76.7886,76.8094,77.3484,78.1725,77.9177,78.6782,78.6736,78.8773,79.1548,79.3715,80.0572,80.0489,80.1631,80.2908,80.5938,81.1019,80.8863,81.2089,81.6518,81.7921,81.9765,82.07,82.2189,82.3803,82.5665,82.7419,82.4513
"140",61.5816,61.8904,62.236,62.5928,62.9177,63.2213,63.5659,63.9808,64.5538,65.169,65.8914,66.5528,66.9603,67.2275,67.1912,66.9917,66.7302,66.4874,66.207,65.9182,65.5975,65.1546,64.7077,64.227,63.8575,63.7461,63.8521,64.0828,64.3886,64.8043,65.3491,66.0204
"141",59.7212,59.9078,60.2184,60.5059,60.7564,61.0491,61.1049,61.3771,60.6294,61.6723,61.7199,61.7728,61.6978,61.7973,61.7611,61.8008,61.9172,62.0338,62.5708,62.7882,63.0395,63.5259,63.7325,63.9611,64.2589,64.7006,64.8399,65.1028,65.1822,65.4738,65.7868,65.3506
"155",65.3917,65.5793,65.7671,65.958,66.1876,66.3807,66.5898,66.7416,66.9204,67.0685,67.2249,67.3635,67.5148,67.6443,67.8009,67.9363,68.0899,67.9856,68.4039,68.4656,68.7318,68.908,69.0839,69.188,69.2337,69.5834,69.8007,69.9882,70.1733,70.3821,70.1987,70.3477
"176",67.2943,67.5176,67.6864,67.8548,68.0145,68.1699,68.3229,68.4904,68.6423,68.8086,68.978,69.127,69.3348,69.4946,69.6704,69.7682,69.8939,70.0478,70.164,70.0121,70.3234,70.3809,70.442,70.505,70.5405,70.607,70.661,70.7133,70.7787,70.8715,70.9276,70.9857
"180",61.6615,61.9086,60.4911,62.654,62.9243,63.098,63.2102,63.3559,63.4182,63.427,63.4988,63.5427,63.5803,63.6311,63.6933,63.8359,63.9278,63.9315,63.9483,63.9485,63.9781,63.9735,63.9636,64.0076,64.0252,64.0598,64.1075,64.1478,64.2117,64.2775,64.382,64.5466
"190",66.6747,67.2031,67.3535,67.5281,67.7387,67.8853,68.6298,68.7082,68.763,68.2374,68.9657,69.0375,69.196,69.2761,69.3133,69.3898,69.462,69.5445,69.6019,69.6526,69.6171,69.5508,69.4972,69.5342,69.4645,69.5129,69.6496,69.7095,69.7948,69.8769,70.2995,70.449
"191",67.6584,67.8814,68.3855,68.7009,68.9795,69.2984,69.5877,69.8746,70.1711,70.4564,70.7458,71.0186,71.2761,71.4959,71.6959,71.7545,72.021,72.0997,72.1546,70.0663,72.2488,72.2598,72.1668,72.3915,72.4628,72.5146,72.5397,72.59,72.6358,72.1572,72.7677,72.7675
